"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"11","ADI","31.91","1.66","2.16","1.96%","15800","1.52B","S&P 500","40.65B","Yes","2.20","6.14B","Yes","1.40","0.48","20.62","0.45","3.45","66.40","27.03","45.33","6.62","2.89","0.90","-1.29%","Nov 20 BMO","4.07","9.34%","1.22","13.90%","-10.50%","99.00%","18.70%","-5.00%","-1.38%","67.80%","0.34%","-12.92%","91.50%","1.72%","29.80%","52.40%","23.50%","6.70%","12.50%","10.20%","1.78%","-12.17%","43.04%","76.62 - 124.79","2.16M","0.53","47.23","1.03%","1.76","368.12M","369.53M","118.62","833,544","2.78","1.44","-0.36%","-4.17%","-5.63%","-4.99%","1.44%","28.26%","28.16%","110.00","109.60","2.25% 2.49%"
"12","ADM","33.55","1.51","1.40","3.51%","31600","1.29B","S&P 500","22.52B","Yes","1.90","63.35B","Yes","1.60","0.50","11.43","0.41","1.19","26.40","17.50","-","0.36","-","0.90","-0.79%","Oct 31 BMO","2.28","-8.80%","0.73","9.10%","-62.20%","47.40%","-6.50%","-4.50%","1.16%","6.30%","0.20%","3.53%","79.70%","0.60%","2.20%","58.70%","2.10%","3.20%","7.00%","6.20%","-3.45%","-20.07%","9.14%","36.45 - 49.77","3.43M","0.71","49.70","2.16%","3.49","555.04M","565.00M","49.27","1,773,620","0.81","1.10","-0.18%","-6.81%","-4.37%","-0.99%","0.20%","-19.17%","-2.73%","39.85","39.78","1.70% 1.87%"
"13","ADP","12.46","4.52","3.16","1.93%","58000","2.29B","S&P 500","71.02B","Yes","2.40","14.18B","Yes","1.10","0.00","23.50","0.37","13.15","36.24","31.26","57.59","5.01","1.89","1.10","1.92%","Oct 30 BMO","5.24","16.55%","1.34","15.30%","400.70%","12.30%","6.70%","5.50%","-0.13%","49.60%","0.10%","-39.72%","82.80%","0.24%","21.30%","56.20%","16.20%","5.50%","45.70%","31.20%","3.49%","-6.23%","34.79%","121.40 - 174.50","1.90M","0.57","54.40","0.74%","1.67","433.03M","433.50M","180.00","791,778","2.71","0.89","-0.12%","0.86%","3.84%","-1.58%","1.94%","14.34%","24.95%","163.83","163.63","1.29% 1.60%"
"14","ADS","46.62","78.50","2.52","2.04%","20000","868.80M","S&P 500","6.33B","Yes","2.30","6.69B","Yes","2.70","10.49","5.36","7.04","2.65","1.57","7.65","2.88","0.95","2.99","2.60","-0.13%","Oct 24 BMO","16.12","2.56%","5.28","18.00%","-34.50%","30.80%","12.50%","-3.50%","-4.77%","47.60%","2.10%","-0.24%","94.10%","0.21%","26.80%","14.80%","13.00%","2.90%","37.40%","5.80%","-18.39%","-44.53%","6.38%","116.68 - 223.76","1.03M","0.50","44.53","3.47%","1.67","49.62M","51.30M","169.61","374,414","3.22","1.68","0.62%","-24.13%","-5.77%","-18.61%","4.36%","-42.10%","-17.80%","123.36","124.12","2.18% 2.51%"
"15","ADSK","-0.88","4.51","-","-","9600","41.00M","S&P 500","31.68B","Yes","1.90","2.93B","Yes","0.60","-","32.07","-","-","31.96","784.08","43.32","10.81","-","0.60","-4.94%","Aug 27 AMC","0.18","-","0.73","-19.60%","200.50%","38.80%","2.50%","30.30%","-5.22%","89.40%","0.10%","-7.18%","97.40%","0.24%","5.20%","0.00%","1.90%","1.30%","-23.10%","-4.20%","-10.79%","-21.62%","19.15%","117.72 - 178.95","2.22M","1.05","39.07","2.92%","2.88","218.68M","219.60M","173.26","1,694,303","3.97","1.85","-2.78%","-14.73%","-4.53%","-14.79%","-0.32%","2.02%","12.18%","144.27","140.26","2.33% 2.45%"
"16","AEE","31.72","0.02","1.90","2.51%","8838","795.00M","S&P 500","19.15B","Yes","2.30","6.08B","Yes","0.60","1.23","21.64","1.06","2.39","3192.32","23.51","11.22","3.15","5.00","0.40","-2.05%","Nov 08 BMO","3.22","4.70%","1.44","9.60%","-25.50%","19.60%","1.50%","-11.80%","-0.75%","84.80%","0.42%","-0.39%","70.80%","0.23%","20.80%","57.90%","13.10%","2.90%","10.30%","6.70%","3.96%","-5.15%","22.68%","62.51 - 80.85","1.78M","0.82","44.19","4.74%","6.73","252.34M","252.69M","80.78","1,054,128","1.08","0.24","1.17%","7.55%","-3.41%","-0.24%","-1.37%","17.01%","16.20%","75.80","76.69","1.39% 1.24%"
"17","AEP","39.14","0.78","2.68","2.88%","17582","1.96B","S&P 500","46.06B","Yes","2.30","15.76B","Yes","0.50","1.43","21.12","1.25","2.38","119.26","23.41","12.61","2.92","3.84","0.40","0.97%","Oct 24 BMO","3.97","6.10%","1.23","5.10%","-13.00%","1.20%","1.80%","-11.00%","2.32%","79.80%","0.10%","-5.77%","75.60%","0.11%","16.20%","65.70%","12.50%","2.80%","10.30%","5.80%","9.17%","-0.91%","31.96%","71.25 - 94.89","2.24M","0.74","58.94","1.60%","3.52","493.73M","495.24M","94.43","1,207,621","1.05","0.08","1.10%","12.03%","-0.02%","3.01%","0.42%","29.71%","24.43%","93.00","94.03","1.11% 1.09%"
"18","AES","4.83","2.38","0.55","3.39%","21000","412.00M","S&P 500","10.78B","Yes","2.40","10.59B","Yes","1.40","6.16","11.27","5.82","3.36","6.83","26.28","-","1.02","2.92","1.20","2.69%","Nov 06 BMO","0.62","9.00%","0.39","32.30%","-83.40%","316.90%","-7.50%","-2.10%","5.44%","22.70%","0.20%","208.07%","96.40%","0.11%","13.80%","88.40%","3.80%","1.20%","12.40%","6.60%","-0.80%","-11.18%","21.40%","13.55 - 18.52","4.70M","0.55","62.96","1.59%","2.23","661.49M","664.00M","18.38","1,873,742","0.29","1.04","1.29%","-8.35%","1.18%","-5.69%","2.65%","5.73%","12.31%","16.24","16.45","1.53% 1.81%"
"19","AFL","37.90","4.11","1.08","2.05%","11390","3.13B","S&P 500","38.71B","Yes","3.00","21.94B","Yes","-","0.22","11.79","0.22","1.39","12.82","12.77","8.10","1.76","2.95","-","1.54%","Oct 24 AMC","4.12","4.34%","1.07","2.30%","2.00%","13.30%","-2.00%","-1.40%","2.52%","-","0.10%","-18.25%","67.60%","0.28%","20.30%","25.70%","14.20%","2.20%","12.30%","10.80%","3.58%","-7.65%","27.41%","41.45 - 57.18","3.46M","0.50","61.19","1.33%","2.67","694.23M","735.16M","52.20","1,256,189","0.69","0.70","0.29%","7.62%","0.08%","-4.27%","1.11%","19.17%","15.56%","52.65","52.81","0.90% 1.34%"
"20","AGN","182.05","6.02","2.96","1.72%","16900","-8519.10M","S&P 500","56.55B","Yes","2.70","15.68B","Yes","1.00","0.38","10.19","0.33","0.95","28.65","-","13.11","3.61","-","0.90","3.74%","Nov 05 BMO","-25.60","3.70%","4.22","-36.00%","-285.10%","24.90%","43.40%","-0.80%","6.17%","85.10%","0.30%","0.00%","89.10%","-1.18%","-54.60%","-","-54.20%","-8.50%","-13.20%","-4.80%","15.94%","-9.19%","52.44%","114.27 - 191.81","3.33M","0.70","75.86","3.16%","3.10","327.17M","327.80M","183.64","1,692,089","1.62","1.64","0.98%","22.94%","3.92%","5.72%","2.78%","-8.24%","29.06%","172.50","174.19","0.94% 0.94%"
"21","AIG","73.09","3.35","1.28","2.37%","49600","-83.00M","S&P 500","47.38B","Yes","2.20","49.30B","Yes","-","0.57","10.48","0.57","0.74","16.14","-","-","0.96","-","-","-1.20%","Nov 06 AMC","-0.08","66.38%","1.04","-63.40%","21.50%","-93.90%","-7.20%","7.90%","-1.16%","-","0.14%","-0.53%","93.60%","0.21%","4.50%","-","-0.30%","0.00%","-0.20%","1.60%","8.92%","-7.67%","49.78%","36.16 - 58.66","3.56M","0.49","47.11","2.13%","5.20","868.61M","876.38M","59.69","1,275,590","1.06","1.21","0.18%","17.42%","-6.23%","-3.36%","0.00%","9.66%","37.17%","54.06","54.16","1.66% 1.77%"
"22","AIV","11.88","0.23","1.56","2.89%","1050","903.10M","S&P 500","8.01B","Yes","2.60","928.90M","Yes","-","0.00","211.05","2.27","4.55","235.54","8.91","-","8.62","1.26","-","3.31%","Oct 31 AMC","6.06","7.10%","0.07","71.30%","1179.70%","126.70%","0.00%","-10.40%","5.39%","66.50%","0.20%","-2.82%","98.70%","0.18%","-","-","-","-","-","4.00%","8.65%","0.31%","29.98%","41.85 - 54.23","1.06M","0.36","73.44","1.70%","2.35","147.50M","148.22M","53.43","277,471","0.74","0.50","0.68%","11.20%","4.16%","8.89%","1.35%","25.85%","23.50%","54.03","54.40","1.22% 1.35%"
"23","AIZ","92.05","24.43","2.40","1.91%","14750","370.60M","S&P 500","7.68B","Yes","1.80","9.57B","Yes","-","0.35","13.00","0.35","1.37","5.16","22.16","7.83","0.80","1.14","-","0.56%","Nov 05 AMC","5.68","19.40%","1.72","-8.70%","96.70%","-35.40%","-2.30%","39.00%","1.62%","-","0.40%","-7.75%","96.90%","0.75%","6.50%","40.00%","3.90%","0.90%","6.90%","5.00%","18.61%","-1.31%","53.18%","82.31 - 127.76","500.60K","0.48","53.86","2.80%","3.39","60.61M","61.01M","143.25","174,201","1.69","0.48","0.11%","35.09%","-1.22%","13.30%","0.32%","20.88%","40.81%","125.94","126.08","0.95% 1.27%"
"24","AJG","26.26","2.77","1.72","1.93%","30400","707.00M","S&P 500","16.51B","Yes","2.10","7.08B","Yes","1.10","0.90","21.20","0.78","3.40","32.22","23.76","38.95","2.33","2.36","1.10","1.40%","Oct 24 AMC","3.76","10.08%","0.80","10.60%","-3.90%","21.30%","16.90%","-0.20%","0.80%","30.50%","0.10%","-14.99%","86.90%","0.09%","10.20%","44.40%","9.70%","3.90%","14.70%","10.20%","6.74%","-3.43%","31.34%","68.19 - 92.74","911.79K","0.53","55.01","1.47%","2.98","184.47M","184.99M","96.82","351,258","1.46","0.81","0.37%","10.95%","-0.72%","-2.81%","2.01%","24.14%","21.07%","89.23","89.56","1.03% 1.58%"
"25","AKAM","20.77","6.33","-","-","7519","425.70M","S&P 500","15.04B","Yes","2.40","2.79B","Yes","3.00","0.26","19.36","0.26","4.40","14.42","35.53","18.85","5.38","2.96","3.00","1.11%","Oct 28 AMC","2.57","12.00%","1.00","2.00%","176.20%","23.70%","11.50%","6.40%","1.92%","65.40%","0.30%","-8.16%","90.90%","0.44%","18.10%","0.00%","15.10%","7.90%","13.00%","6.80%","16.25%","-2.14%","59.37%","57.18 - 93.12","1.62M","0.64","55.00","6.09%","6.05","160.60M","164.63M","91.67","744,811","1.78","0.63","-0.23%","21.24%","0.44%","9.45%","2.22%","40.09%","49.54%","91.34","91.13","1.65% 1.82%"
"26","ALB","35.87","3.76","1.47","2.15%","5900","528.90M","S&P 500","7.23B","Yes","2.20","3.42B","Yes","1.50","0.50","10.37","0.37","1.90","18.15","13.80","-","2.12","1.24","0.90","0.91%","Nov 06 AMC","4.95","11.10%","1.64","4.80%","-46.90%","45.40%","7.10%","3.70%","2.99%","35.40%","0.40%","-7.00%","96.90%","0.57%","19.90%","26.70%","16.00%","7.10%","15.00%","14.10%","-8.20%","-37.59%","15.76%","58.63 - 108.74","1.44M","0.41","52.70","17.53%","12.78","105.22M","105.96M","84.99","433,440","1.95","1.67","-0.51%","-17.38%","1.22%","-8.39%","4.22%","-29.77%","-11.48%","68.22","67.87","2.59% 2.66%"
"27","ALGN","17.18","9.30","-","-","11660","417.30M","S&P 500","16.57B","Yes","2.00","2.19B","Yes","1.80","0.00","33.67","0.00","12.45","22.99","41.45","37.37","7.57","2.23","1.70","13.02%","Oct 23 AMC","5.16","18.56%","1.14","44.60%","40.20%","27.50%","24.40%","22.50%","17.44%","72.60%","0.60%","-21.61%","90.90%","0.03%","23.30%","0.00%","19.10%","19.50%","32.90%","32.60%","-12.86%","-35.94%","26.22%","169.84 - 334.64","1.45M","0.69","77.91","5.37%","2.69","72.93M","77.48M","258.13","727,769","6.20","1.98","0.22%","-24.00%","21.68%","-23.93%","10.17%","-36.13%","2.14%","213.92","214.38","3.01% 3.33%"
"28","ALK","32.19","13.18","1.40","2.09%","23376","506.00M","S&P 500","8.27B","Yes","2.10","8.44B","Yes","0.60","0.46","9.61","0.39","2.08","5.08","16.43","6.83","0.98","0.82","0.60","3.98%","Oct 24 AMC","4.08","20.15%","2.40","-0.30%","35.50%","-39.60%","9.90%","6.10%","6.81%","53.90%","0.30%","-3.33%","90.30%","0.26%","8.70%","32.70%","6.00%","4.30%","13.30%","8.50%","8.93%","-9.96%","26.20%","53.39 - 74.83","954.02K","0.63","66.53","3.70%","4.76","122.75M","123.42M","75.50","432,198","1.44","0.80","0.60%","8.61%","3.16%","5.50%","3.24%","4.89%","10.07%","66.98","67.38","2.35% 2.08%"
"29","ALL","67.91","1.83","2.00","1.86%","45140","2.57B","S&P 500","35.21B","Yes","2.40","42.12B","Yes","-","0.29","10.53","0.29","1.59","58.78","14.28","8.42","0.84","1.37","-","1.00%","Oct 29 AMC","7.55","10.40%","2.41","4.10%","21.10%","-15.80%","2.80%","10.40%","2.79%","-","0.10%","-56.00%","79.90%","-0.09%","8.00%","24.20%","6.20%","2.30%","12.30%","8.60%","10.42%","-0.90%","40.99%","77.00 - 109.55","1.53M","0.77","57.98","1.27%","2.69","324.23M","326.78M","113.15","853,520","1.53","0.82","0.76%","11.39%","-0.23%","6.24%","0.56%","13.24%","30.39%","107.74","108.56","1.09% 1.36%"
"30","ALLE","7.04","1.68","1.08","1.04%","11000","416.40M","S&P 500","9.77B","Yes","2.50","2.80B","Yes","1.70","2.16","19.85","2.11","14.79","61.90","23.81","32.73","3.49","3.18","1.10","2.37%","Oct 24 BMO","4.37","7.48%","1.32","63.10%","-2.90%","27.20%","5.70%","3.80%","5.15%","43.10%","0.10%","-13.48%","99.61%","-0.08%","19.20%","20.70%","15.70%","15.70%","69.00%","22.10%","7.71%","-6.82%","39.45%","74.83 - 111.99","704.96K","0.66","63.00","4.84%","6.39","93.09M","93.80M","105.67","334,709","1.88","1.16","0.21%","11.07%","1.78%","-3.22%","3.41%","22.18%","30.64%","104.13","104.35","1.56% 1.78%"
"31","ALXN","45.33","9.32","-","-","2656","1.24B","S&P 500","22.42B","Yes","1.90","4.50B","Yes","4.00","0.26","9.10","0.25","2.21","10.73","18.21","17.62","4.98","1.08","3.60","-1.05%","Oct 23 BMO","5.49","16.84%","2.45","-40.60%","199.20%","-95.70%","21.60%","15.10%","-6.17%","91.70%","0.20%","-40.49%","98.10%","0.45%","32.30%","0.00%","29.60%","9.50%","14.00%","0.40%","-18.32%","-30.61%","6.35%","92.56 - 141.86","2.42M","0.55","43.64","1.41%","1.30","223.75M","224.20M","156.26","965,880","3.31","1.64","-1.55%","-20.65%","-2.90%","-17.23%","1.67%","-21.70%","2.70%","99.99","98.44","3.63% 3.25%"
"32","AMAT","8.74","3.83","0.84","1.61%","21000","2.88B","S&P 500","48.44B","Yes","2.20","14.87B","Yes","2.70","0.65","15.58","0.65","5.97","13.60","17.40","21.85","3.26","2.04","1.70","1.51%","Nov 14 AMC","3.00","8.53%","0.76","83.00%","-40.40%","36.10%","18.10%","-14.40%","4.61%","43.90%","0.10%","-5.49%","82.30%","-0.04%","23.60%","26.80%","19.40%","15.60%","36.80%","37.20%","19.13%","-2.84%","79.72%","28.79 - 53.25","7.76M","0.79","55.70","1.90%","2.25","921.04M","929.00M","53.32","4,425,018","1.24","1.64","-0.77%","18.63%","0.10%","9.06%","2.22%","50.00%","59.25%","52.14","51.74","1.99% 2.24%"
"33","AMCR","4.75","0.38","0.48","5.01%","50000","661.90M","S&P 500","15.04B","Yes","2.70","9.37B","Yes","1.10","1.09","13.68","0.95","2.02","24.99","16.85","-","1.60","-","0.70","1.48%","Aug 20 AMC","0.57","-","0.15","-8.00%","30.60%","-26.70%","-1.00%","110.10%","-0.86%","19.30%","0.10%","-","28.00%","1.52%","13.10%","35.40%","7.40%","-","-","5.30%","-6.28%","-17.80%","5.39%","9.18 - 11.77","5.15M","0.67","53.60","2.21%","6.73","1.57B","1.57B","10.03","2,491,902","0.22","-","0.89%","-","-2.34%","-14.91%","2.90%","-","-14.22%","9.59","9.68","2.20% 1.98%"
"34","AMD","1.75","1.07","-","-","10100","204.00M","S&P 500","32.72B","Yes","2.50","5.88B","Yes","2.10","0.54","29.32","0.54","17.79","29.00","165.64","-","5.57","4.63","1.50","4.82%","Oct 23 AMC","0.19","35.81%","0.18","37.90%","-68.80%","126.90%","4.10%","-12.80%","1.50%","39.80%","0.70%","-28.45%","69.50%","-2.79%","4.50%","0.00%","3.30%","4.00%","12.60%","18.30%","11.13%","-13.22%","92.45%","16.03 - 35.55","58.14M","0.65","57.78","14.54%","2.63","1.05B","1.05B","33.43","27,494,845","0.93","3.05","-0.93%","12.50%","2.37%","-4.21%","9.73%","10.50%","68.69%","31.14","30.85","3.23% 3.16%"
"35","AME","20.51","2.50","0.56","0.63%","18200","810.70M","S&P 500","20.14B","Yes","1.50","5.04B","Yes","2.20","0.53","20.37","0.51","4.32","35.47","25.17","26.40","4.00","4.94","1.50","-0.24%","Oct 31 BMO","3.52","5.10%","1.01","9.40%","13.10%","29.40%","6.20%","6.70%","1.16%","34.40%","0.40%","-14.13%","89.10%","0.19%","22.30%","15.60%","16.30%","9.50%","18.40%","12.40%","5.74%","-4.59%","40.32%","63.14 - 92.86","1.17M","0.79","50.89","1.20%","2.33","227.27M","227.58M","97.86","673,279","1.71","1.21","0.10%","2.34%","-1.68%","-0.23%","0.64%","20.49%","30.74%","88.51","88.60","1.66% 1.87%"
"36","AMG","63.24","7.06","1.28","1.71%","4450","-129.00M","S&P 500","3.81B","Yes","2.60","2.30B","Yes","-","0.56","5.26","0.56","1.18","10.58","-","4.86","1.66","-","-","-4.33%","Oct 28 BMO","-2.56","-1.73%","3.15","-6.60%","-2.20%","-45.60%","1.70%","-1.40%","-5.47%","-","0.80%","-12.78%","99.70%","0.38%","31.60%","-","-5.60%","-1.60%","-3.80%","11.10%","-20.73%","-41.08%","5.32%","71.08 - 127.06","527.50K","0.76","41.38","3.44%","3.27","50.18M","51.00M","92.75","292,123","2.25","1.68","0.23%","-34.27%","-13.95%","-15.47%","2.24%","-40.69%","-23.34%","74.70","74.87","2.66% 2.60%"
"37","AMGN","17.78","35.85","5.80","2.85%","21500","7.96B","S&P 500","123.56B","Yes","2.30","23.56B","Yes","2.90","2.84","12.83","2.58","11.45","5.68","16.12","22.07","5.24","2.08","2.60","2.60%","Oct 29 AMC","12.63","7.77%","3.50","13.70%","2.70%","14.80%","4.90%","-3.10%","1.36%","82.20%","0.20%","-2.09%","79.40%","0.18%","41.80%","43.60%","33.80%","12.40%","65.70%","19.80%","7.67%","-4.48%","21.71%","166.30 - 211.90","2.94M","0.53","57.60","1.43%","2.92","598.41M","607.00M","214.84","1,138,046","3.40","1.07","-0.56%","14.70%","4.37%","14.11%","2.46%","0.60%","4.57%","203.56","202.41","1.57% 1.66%"
